Infrastructure Type,Infrastructure Name,Road Location,Two Way Travel,Length,ID,Location
Multiuse path,Near Hurst Wy,Off Road,true,112,W207135,"MULTILINESTRING ((-97.17881182445885 49.847221160157304, -97.17876847567736 49.84718509810233, -97.17869098916799 49.847151286870734, -97.17853175854555 49.84713412758303, -97.17813449636583 49.84713284888204, -97.1780632216791 49.84713225215297, -97.17794050949271 49.84712828576463, -97.17779629424138 49.84710972149334, -97.17749956737435 49.84704190555963, -97.17740891400948 49.84702316458509, -97.17732985373623 49.84701665544906))"
Spur route,Near Everglade Pl,Off Road,true,68,W99922,"MULTILINESTRING ((-97.06238409782308 49.85300158853618, -97.06285050110309 49.85300146650705, -97.06333131273179 49.853001256865795))"
Multiuse path,Near Kenaston Bv,Off Road,true,72,W226713,"MULTILINESTRING ((-97.19887784222894 49.79010559883096, -97.19878802913983 49.79018808419387, -97.19866350683701 49.79032467199783, -97.19854037035806 49.79042388825233, -97.19829873252546 49.790593983237486, -97.19827244280461 49.790612489133466))"
Multiuse path,Near Maryland St,Off Road,true,5,W48222,"MULTILINESTRING ((-97.16124801993925 49.87951682549582, -97.16125119085896 49.879473846309125))"
Multiuse path,Near William R Clement Pw,Off Road,true,113,W211120,"MULTILINESTRING ((-97.27033158680612 49.862959277761455, -97.27026240947026 49.86295658666181, -97.2698665746757 49.86294415451869, -97.26978013752412 49.86294338586707, -97.26974984988276 49.862944255246646, -97.26972769758598 49.86294630328845, -97.26970836812038 49.86294945068738, -97.2696832419818 49.862954625983676, -97.26964984835978 49.86296232089584, -97.26961571292308 49.862967890284104, -97.26958041758257 49.8629715922104, -97.26954567247084 49.86297133776727, -97.2695076958752 49.86296997784602, -97.26946209417137 49.862968809606365, -97.26901983481787 49.86294921321668, -97.26876663891743 49.86294067402169))"
Multiuse path,Awasisak Meskanow Greenway,Off Road,true,44,W219910,"MULTILINESTRING ((-97.18908331891427 49.80844205750655, -97.18902711865358 49.80861356421693, -97.18896482149336 49.80868771398184, -97.1888887568976 49.808811730852085))"
Multiuse path,Awasisak Meskanow Greenway,Off Road,true,4,W13141,"MULTILINESTRING ((-97.05775585910077 49.840454639508636, -97.05771651341932 49.840481516026784))"
Multiuse path,Near Hurst Wy,Off Road,true,7,W212210,"MULTILINESTRING ((-97.17920447047625 49.847075365977226, -97.17930047779778 49.847070985310665))"
Multiuse path,Near Hurst Wy,Off Road,true,3,W212208,"MULTILINESTRING ((-97.17960683217464 49.84684557152621, -97.17960326579397 49.846868758241776))"
Multiuse path,Near Hurst Wy,Off Road,true,7,W213381,"MULTILINESTRING ((-97.17962343327804 49.84706693614825, -97.17957598040645 49.84705417650618, -97.17952937400334 49.84705414239084))"
